"ihs5_foodid","ihs5_fooditem","ref_source","ref_fctcode","ref_fctitem","ref","WATER","ENERC1","VITA_RAE","THIA","RIBF","NIA","VITB6","FOL","VITB12","VITC","VITE","CA","CU","FE","ID","K","MG","na","SE","ZN","ID_cal","comment"
"203","White sweet potato","MAFOODS","MW01_0065","sweet potato, white-fleshed, raw, ipomoea batatas, (mbatata zoyera mkati)","10",77.28,89.26,2.213,0.066,0.03,0.443,0.199,38.358,0,16.45,0.125,16.798,0.174336,0.23154,NA,337.112,19.0907,14.753,0.043811,0.170704,0.0011,NA
"914","Wine or commercial liquor","KENFCT","12008","wine, white, dry",NA,88.7,76,0,0,0,0.1,0.047711111,0.837037037,0,2,0,8,0.00837037,0.5,NA,54,8,14,1,0.08,0,NA
"706","Yoghurt","KENFCT","6026","yoghurt, cow milk, whole, plain","3B(Yoghurt whole / Yaourt entier), 4E(Yoghurt, whole / Yaourt, entier), 12R, AU14(09C10093), IN17(L002), P2013, US28(01116), 10_025, 10_001",82,85,34,0.1,0.2,0.1,0.047058824,8.235294118,0.2,1.176470588,0.152941176,149,0.011764706,0.2,NA,130,10,32,2,0.34,0,NA
"103","Maize ufa madeya (bran flour)","MAFOODS;MAFOODS","MW01_0035;MW01_0036","maize, bran, zea mays, (deya/gaga);maize, grain, orange, raw, zea mays, (mthikinya)",NA,11.765,372.707,2.299,0.2545,0.107,2.3915,0.222,18.3894,0,64.194,0.8485,9.5,0.25,2.6825,NA,438.5,154.5,14.5,9.566736211,3,5e-04,NA
"111","Bread","MAFOODS;MAFOODS;MAFOODS","MW01_0003;MW01_0004;MW01_0007","bread, wheat, brown, homemade;bread, wheat, white, commercial, (buledi wa waiti);cake, plain, (keke)",NA,28.81105828,303.7105578,48.05615648,0.24054879,0.170011221,1.810729854,0.158771282,38.40346104,0.103572154,0.062437562,0.706335973,42.77336992,0.130311665,2.058381651,NA,146.8295534,25.54623544,715.5691476,6.591960124,0.598799114,0.0114,NA
"115","Breakfast cereal","KENFCT;KENFCT","1009;1011","breakfast cereal, flakes of corn;buns, currant",NA,16.25,339.5,5,0.125314796,0.055,1.45,0.026364113,5.272822666,0,0,0.087880378,46.5,NA,1.45,NA,160,20,595,9,0.4,0,NA
"116","Infant feeding cereals","MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS","MW07_0001;MW07_0002;MW07_0003;MW07_0004;MW07_0005;MW07_0006;MW07_0007;MW07_0008","baby cereal, containing milk, 12 months, strawberry flavour, dry;baby cereal, containing milk, 6 months, dry;baby cereal, containing milk, 7 months, regular flavour, dry;baby cereal, containing milk, 9 months, mixed fruit flavour, dry;baby cereal, maize, 6 months, dry;baby cereal, maize, 9 months, strawberry and banana flavour, dry (nestum);baby cereal, mixed cereal, 7 months, dry;baby cereal, mixed grain, 7 months, dry",NA,4.5875,385,0,0.8875,0.525,3.8,0.3875,60.625,1.3625,71.45,3.1875,478.575,0.334,19.35,NA,491.375,81.175,167,25.9,4.4375,0,NA
"406","Other cultivated green leafy vegetables","MAFOODS;MAFOODS;WAFCT;MAFOODS;MAFOODS;MAFOODS","MW04_0014;MW04_0012;04_004;MW04_0019;MW04_0021;MW04_0011","leaves, cassava, raw, (ntapasha/chigwada);leaves, black jack, raw, (chisoso);okra, leaves, fresh, raw;leaves, pumpkin, raw, (nkhwani);leaves, roselle, raw, hibiscus subdaiffa, (chidede);leaves, amaranth, raw, (bonongwe)",NA,85.11333333,51.96966667,276.6210178,0.128333333,0.326,0.869666667,0.248166667,117.8366667,0,38.34266667,1.854666667,231.4387833,0.128813333,5.7664075,NA,439.5906667,74.34933333,54.7,1.075028,0.651023333,0.0089,NA
"407","Gathered wild green leaves","MAFOODS;MAFOODS","MW04_0015;MW04_0016","leaves, cat's whiskers, raw, cleome gynadra, (luni);leaves, jews mallow, raw, corchorus trilocularis, (denje)",NA,79.65,61.8638,303.437,0.1595,0.424,1.5765,0.407,285.9215,0,151.5772,2.0185,1352.557,0.3715,21.880385,NA,576.855,84.095,15.382,1.841242938,1.592,0.0139,NA
"5021","Sun Dried fish (Large Variety)","MAFOODS;MAFOODS","MW03_0031;MW03_0020","fish, tilapia, whole, dried, oreochromis shiranus, (chambo chouma);fish, catfish, dry, clarius gariepinus, (mlamba wouma)",NA,11.5,375.006,44.149,0.2385,0.224,4.1925,0.873,20.6915,12.0175,0,1.405,1404.5,0.4,23.619,NA,1256,152,301.5,109.0542806,4.6,0.040887,NA
"5022","Sun Dried fish (Medium Variety)","MAFOODS;MAFOODS","MW03_0031;MW03_0020","fish, tilapia, whole, dried, oreochromis shiranus, (chambo chouma);fish, catfish, dry, clarius gariepinus, (mlamba wouma)",NA,11.5,375.006,44.149,0.2385,0.224,4.1925,0.873,20.6915,12.0175,0,1.405,1404.5,0.4,23.619,NA,1256,152,301.5,109.0542806,4.6,0.040887,NA
"5031","Fresh fish (Large Variety)","KENFCT;uFish","8010;91010","nile tilapia, fillet, w/o skin and bones, raw;north african catfish, wild, fillet w/ bones, raw",NA,78.19958334,99.23783335,9.5,0.055,0.09,3.131666667,0.258098562,13.98462325,2.505,0,0.349615581,470.5,0.051414056,2.85,NA,261,26,72.5,27.55,4.25,0.010071792,NA
"5032","Fresh fish (Medium Variety)","KENFCT;uFish","8010;91010","nile tilapia, fillet, w/o skin and bones, raw;north african catfish, wild, fillet w/ bones, raw",NA,78.19958334,99.23783335,9.5,0.055,0.09,3.131666667,0.258098562,13.98462325,2.505,0,0.349615581,470.5,0.051414056,2.85,NA,261,26,72.5,27.55,4.25,0.010071792,NA
"511","Termites, other insects (eg Ngumbi, caterpillar)","MAFOODS;MAFOODS","MW03_0069;MW03_0009",";caterpillar, roasted, imbrasia ertli, (mphalabungu zootcha)",NA,49,193.5238,346.474,0.199,0.704,1.593,0.398,156.643,0,37.9544,1.049,247.96245,0.239,117.180385,NA,593.405,40.595,256.8285969,1.268156425,0.584,0.0417,NA
"5121","Smoked fish (Large Variety)","MAFOODS;MAFOODS","MW03_0047;MW03_0023","fish, tilapia, whole, smoked, sun dried, oreochromis shiranus, (chambo chowamba);fish, catfish, smoked, clarias gariepinus, (mlamba wowamba)",NA,11.5,393.907,413.645,0.285,0.318,5.5515,0.881,17.2385,9.8035,0,1.3215,1247,0.1,100.732,NA,1273.5,155.5,311,148.153674,4.5,0.040887,NA
"5122","Smoked fish (Medium Variety)","MAFOODS;MAFOODS","MW03_0047;MW03_0023","fish, tilapia, whole, smoked, sun dried, oreochromis shiranus, (chambo chowamba);fish, catfish, smoked, clarias gariepinus, (mlamba wowamba)",NA,11.5,393.907,413.645,0.285,0.318,5.5515,0.881,17.2385,9.8035,0,1.3215,1247,0.1,100.732,NA,1273.5,155.5,311,148.153674,4.5,0.040887,NA
"603","Citrus Ã¯Â¿Â½ naartje, orange, etc.","MAFOODS;MAFOODS","MW05_0018;MW05_0014","orange, raw, peeled, citrus sinensis, (lalanje losenda);lemon, raw, peeled, (ndimu losenda)",NA,87.15,51.35,5.080952381,0.06,0.015,0.25,0.0375,23.5,0,55,0.23,29.5,0.11,0.3,NA,166.5,8.5,2,0,0.155,3e-04,NA
"608","Wild fruit (masau, malambe, etc.)","MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS;MAFOODS","MW05_0013;MW05_0005;MW05_0006;MW05_0009;MW05_0015;MW05_0017;MW05_0024","jujube, ziziphus mauritiana, (masau);baobab, raw, adansonia digitata,(malambe);custard apple, wild, annona senegalensis, (mpoza);jakjak fruit, azanza garckeana, (matowo);loquats, wild, uapaca kirkiana,(masuku a mtchire);medlar, african, raw, vangueria infausta, (lokwati);tamarind, fruit, raw, tamarindus indica, (bwemba)",NA,57.74714286,166.6325714,14.58038735,0.132272921,0.089588486,0.901943497,0.085857143,19.58366274,0,47.74457783,0.020085911,46.54771429,0.1958,2.951157143,NA,839.9444286,58.94644286,7.9686,4.026429759,0.794473348,0.0059,NA
"707","Cheese","KENFCT;KENFCT;KENFCT;KENFCT","6003;6004;6005;6006","cheese, cheddar, regular fat;cheese, cottage (cow milk), plain, skimmed;cheese, cottage (cow milk), plain, whole;cheese, cottage, milk, cow, sour",NA,66.25,183.75,68,0.0425,0.315,0.65,0.036904197,20.58280805,0.8825,0.25,0.399214231,265.25,0.06626047,0.3,NA,105.75,12.75,422.75,9.75,1.1075,0,NA
"803","Cooking oil","WAFCT;KENFCT;WAFCT","11_003;9013;11_009","groundnut oil, unfortified;sun flower oil;soya oil, unfortified",NA,0,900,0,0,0,0,0,0,0,0,26,0,0.006666667,0.066666667,NA,0,0.333333333,0,0,0.026666667,0,NA
"812","Yeast, baking powder, bicarbonate of soda","KENFCT;KENFCT","13002;13002","baking powder, dry powder;baking powder, dry powder",NA,4.9,179,0,0,0,0,0,0,0,0,0,4280,0,9.7,NA,10200,34,8850,0,0.89,0,NA
"825","Meat (vendor)","MAFOODS;MAFOODS;KENFCT","MW03_0056;MW03_0001;15073","lamb, meat, roast, (nyama ya nkhosa yootcha);beef mince, fried, (nyama ya ng'ombe yogaya yokazinga);ingokho (fried chicken)",NA,39.52054835,350.8096421,54.85540792,0.116266896,0.218771378,6.90002851,0.373895507,3.617681237,1.609845459,1.203956871,1.6115674,46.41765838,0.249517523,5.194663331,NA,346.6680694,47.24385567,359.055713,23.67796487,3.091710055,0.0026,NA
"836","Zikondamoyo/Nkate","MAFOODS;MAFOODS","MW01_0061;MW01_0001","steamed maize & banana snack, (mkate);african cake, (chikondamoyo/chigumu cha nthochi ndi dzira)",NA,50.03554202,217.5551246,3.825716213,0.180260465,0.067711309,1.242035048,0.328673334,18.63022697,0.04150284,5.762258138,1.129935223,15.61913176,0.147991475,1.376788958,NA,326.9951785,50.00970428,7.988549337,0.00273045,0.749168506,5e-04,NA
"905","Fruit juice","MAFOODS;MAFOODS;MAFOODS","MW05_0010;MW05_0011;MW05_0012","juice tamarind, homemade, (juwisi wa bwemba);juice, baobab, homemade, (malambe juisi);juice, orange, homemade, (juwisi wa malalanje)",NA,79.16523682,82.72485425,0.337414213,0.044236775,0.016900783,0.163663382,0.013406607,21.49305796,0,12.50643196,0.063859347,23.7145341,0.041193868,0.349650761,NA,131.9591434,13.55792276,1.480875384,0.015639493,0.126845196,0,NA
"5023","Sun Dried fish (Small Variety)",NA,NA,NA,NA,21.525,345.991,107.0235,0.0345,0.364,19.476,1.7885,18.0875,21.0535,0,1.780135659,1668.375,0.31,13.2595,NA,959.68,337.36,267.28,44.23702703,13.495,0.037275625,NA
"5033","Fresh fish (Small Variety)",NA,NA,NA,NA,72.775,126.285465,11.68364391,0.030138377,0.120553506,2.571808118,0.241107011,15.42080259,1.868579336,0,0.400988372,526.88525,0.040184502,3.81475,NA,350.5896864,147.5175,77.71682657,45.57927122,1.215581181,0.012931875,NA
"5123","Smoked fish (Small Variety)",NA,NA,NA,NA,54.5,193.994335,1.866173362,0.086575053,0.134672305,13.36141649,0.432875265,24.67389007,2.741543341,0,0.670155039,1127.208,0.663742072,10.7385,NA,534.1584567,319.588,142.9738901,56.0717759,16.35306554,0.0216125,NA
"835","popcorn","AHHA","1009","popcorn, maize, yellow",NA,10.91,334.66,0,0.264,0.09595,2.0064,0.1809,13.072,0,0,NA,3.04722,0.183546,1.41669,NA,311.712,81.972,NA,1.613,1.57707,NA,NA
"837","kalongonda (mucuna)","WAFCT; Joy","03_059","Velvet bean, dry, raw",NA,10.5,334,0,0.16,0.24,1.9,0.79,140,0,0,NA,96,1.57,5.4,NA,987,129,0,NA,3.1,NA,NA
"412","Tinned vegetables","MAFOODS","MW02_0003","Bean stew, (Nyemba zoumazokazingira)","R11",88.2,49,3,0.04,0.02,0.2,0.04,24,0,1,0.34,45,0.28,1.4,0.43,143,20,NA,2,0.61,NA,NA
"829","Meal eaten at restaurant (vendor)","MAFOODS","MW01_0031, MW03_0010, MW04_0020","Maize thick porridge, degermed-dehulled flour, (Nsima ya galamilu), Chicken stew, (Nkhuku yokazingira), Leaves, rape, raw, (Lepu)","R18, R41, 10",81.6333333333333,88.6666666666667,197.333333333333,0.05,0.0533333333333333,0.966666666666667,0.140333333333333,66,0.0333333333333333,23.3333333333333,1.95,114.796666666667,0.268368333333333,1.9569,1.095,179.333333333333,27.4986666666667,NA,1.04682666666667,0.850966666666667,NA,NA
"204b","Orange sweet potato","MAFOODS","MW01_0065","sweet potato, white-fleshed, raw, ipomoea batatas, (mbatata zoyera mkati)","10",77.28,89.26,925.83,0.066,0.03,0.443,0.199,38.358,0,16.45,0.125,16.798,0.174336,0.23154,NA,337.112,19.0907,14.753,0.043811,0.170704,0.0011,"OSF equal compo as 203 (MW01_0065) 
         but VITA_RAE from (MW01_0063)"
"832b","Roasted orange sweet potatoes","AHHA","5010","* sweet potato, white, eaten without skin, grilled",NA,77.3,89,768.4389,0.063,0.0285,0.38,0.1791,26.6,0,6.4,0.120836502,17,1.24,1,NA,337,81,15,1,0.82,0.0011,"OSF equal compo as 832 (AHHA - 5010) 
         but VITA_RAE from (MW01_0063*retention factor 
         calculated from Carpio et al., 2017)"
"831b","Boiled orange sweet potatoes","MAFOODS","MW01_0066","sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)","9",76,96.664,879.5385,0.066,0.013,0.659,0.092,7.912,0,9.231,0.29,19,0.2,0.396,NA,302,11,10,0,0.2,0.00099,"OSF equal compo as 831 (MAFOODS - MW01_0066) but VITA_RAE
         from (MW01_0063*retention factor KENFCT - Starchy root or potato,
         boiled)"
"708","Infant feeding formula (for bottle)","MAFOODS","MW07_0037, MW07_0040, MW07_0067, MW07_0069, MW07_0071, MW07_0073, MW07_0075, MW07_0077, MW07_0079, MW07_0081","BMS, acidified formula, NanPelargon 1 powder, BMS, casein-predominant formula,Lactogen 1 powder, BMS, premature, whey-predominantformula, PreNan powder, BMS, soy-based formula, Infasoy 1powder, BMS, soy-based formula, Isomil® 1powder, BMS, whey-predominant formula,Infacare Classic 1 powder, BMS, whey-predominant formula,Nan 1 powder, BMS, whey-predominant formula,S-26 Classic 1, powder, BMS, whey-predominant formula,S-26 Comfort Gold, powder, BMS, whey-predominant formula,S-26 Gold 1 powder","ZA, ZA, ZA, ZA, ZA, ZA, ZA, ZA, ZA, ZA",2.55,512.9,640.1,0.712,1.007,5.31,0.4437,95.6,1.41,77.2,8.242,446.8,0.419,6.57,NA,554.1,44.4,NA,NA,5.04,NA,"We are assuming that VITA is coming
                                   from as retinol and VITA = VITA_RAE"
